2026-03-03T17,38,6.908206,"r, 12.04m,0000001408Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,38,16.908628,"r, 12.02m,0000001436Hz,0000000000c,0000000.000s, 027.7C"
2026-03-03T17,38,26.909038,"r, 12.02m,0000001444Hz,0000000000c,0000000.000s, 027.7C"
2026-03-03T17,38,36.909556,"r, 12.00m,0000001463Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,38,46.910095,"r, 11.99m,0000001483Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,38,56.910588,"r, 11.99m,0000001479Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,39,6.911104,"r, 11.96m,0000001512Hz,0000000000c,0000000.000s, 027.7C"
2026-03-03T17,39,16.911596,"r, 11.96m,0000001523Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,39,26.91201,"r, 11.95m,0000001531Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,39,36.912435,"r, 11.94m,0000001549Hz,0000000000c,0000000.000s, 027.7C"
2026-03-03T17,39,46.912875,"r, 11.94m,0000001552Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,39,56.913361,"r, 11.94m,0000001558Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,40,6.913852,"r, 11.94m,0000001540Hz,0000000000c,0000000.000s, 027.7C"
2026-03-03T17,40,16.914353,"r, 11.94m,0000001536Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,40,26.914729,"r, 11.96m,0000001520Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,40,36.915165,"r, 11.97m,0000001503Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,40,46.915611,"r, 11.97m,0000001499Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,40,56.916023,"r, 11.99m,0000001481Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,41,6.916469,"r, 11.99m,0000001476Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,41,16.916875,"r, 12.00m,0000001457Hz,0000000000c,0000000.000s, 027.7C"
2026-03-03T17,41,26.917317,"r, 12.00m,0000001466Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,41,36.917823,"r, 12.01m,0000001448Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,41,46.918256,"r, 12.03m,0000001426Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,41,56.918756,"r, 12.03m,0000001430Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,42,6.919186,"r, 12.05m,0000001402Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,42,16.919656,"r, 12.04m,0000001414Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,42,26.920137,"r, 12.05m,0000001392Hz,0000000000c,0000000.000s, 028.0C"
2026-03-03T17,42,36.920574,"r, 12.08m,0000001367Hz,0000000000c,0000000.000s, 028.0C"
