2026-03-03T20:00:09.323400,"r, 17.56m,0000000009Hz,0000052856c,0000000.115s, 027.7C"
2026-03-03T20:00:14.323894,"r, 17.57m,0000000009Hz,0000053512c,0000000.116s, 027.7C"
2026-03-03T20:00:19.324335,"r, 17.57m,0000000009Hz,0000053441c,0000000.116s, 027.7C"
2026-03-03T20:00:24.324800,"r, 17.56m,0000000008Hz,0000053200c,0000000.115s, 027.7C"
2026-03-03T20:00:29.325308,"r, 17.55m,0000000008Hz,0000052647c,0000000.114s, 027.7C"
2026-03-03T20:00:34.325829,"r, 17.54m,0000000009Hz,0000051819c,0000000.112s, 027.7C"
2026-03-03T20:00:39.326262,"r, 17.55m,0000000009Hz,0000052506c,0000000.114s, 027.7C"
2026-03-03T20:00:44.326699,"r, 17.55m,0000000009Hz,0000052270c,0000000.113s, 027.7C"
2026-03-03T20:00:49.327181,"r, 17.52m,0000000009Hz,0000051174c,0000000.111s, 027.7C"
2026-03-03T20:00:54.327616,"r, 17.54m,0000000009Hz,0000051982c,0000000.113s, 027.7C"
2026-03-03T20:00:59.328022,"r, 17.54m,0000000009Hz,0000051757c,0000000.112s, 027.3C"
2026-03-03T20:01:04.328491,"r, 17.53m,0000000008Hz,0000051481c,0000000.112s, 027.3C"
2026-03-03T20:01:09.329022,"r, 17.53m,0000000009Hz,0000051331c,0000000.111s, 027.7C"
2026-03-03T20:01:14.329482,"r, 17.53m,0000000009Hz,0000051456c,0000000.112s, 027.3C"
2026-03-03T20:01:19.329962,"r, 17.52m,0000000009Hz,0000051142c,0000000.111s, 027.3C"
2026-03-03T20:01:24.330477,"r, 17.51m,0000000009Hz,0000050815c,0000000.110s, 027.3C"
2026-03-03T20:01:29.330912,"r, 17.51m,0000000009Hz,0000050678c,0000000.110s, 027.3C"
2026-03-03T20:01:34.331342,"r, 17.50m,0000000009Hz,0000050323c,0000000.109s, 027.3C"
2026-03-03T20:01:39.331712,"r, 17.50m,0000000009Hz,0000050107c,0000000.109s, 027.3C"
2026-03-03T20:01:44.332200,"r, 17.49m,0000000010Hz,0000049786c,0000000.108s, 027.3C"
2026-03-03T20:01:49.332693,"r, 17.49m,0000000009Hz,0000049800c,0000000.108s, 027.3C"
2026-03-03T20:01:54.333096,"r, 17.49m,0000000009Hz,0000049515c,0000000.107s, 027.3C"
2026-03-03T20:01:59.333630,"r, 17.48m,0000000009Hz,0000049279c,0000000.107s, 027.3C"
2026-03-03T20:02:04.334051,"r, 17.48m,0000000010Hz,0000049345c,0000000.107s, 027.3C"
2026-03-03T20:02:09.334536,"r, 17.48m,0000000010Hz,0000049036c,0000000.106s, 027.3C"
2026-03-03T20:02:14.335005,"r, 17.54m,0000000007Hz,0000051939c,0000000.113s, 027.3C"
2026-03-03T20:02:19.335438,"r, 17.50m,0000000009Hz,0000050141c,0000000.109s, 027.3C"
2026-03-03T20:02:24.335843,"r, 17.53m,0000000009Hz,0000051454c,0000000.112s, 027.3C"
2026-03-03T20:02:29.336329,"r, 17.54m,0000000009Hz,0000051921c,0000000.113s, 027.3C"
2026-03-03T20:02:34.336833,"r, 17.53m,0000000009Hz,0000051275c,0000000.111s, 027.3C"
2026-03-03T20:02:39.337333,"r, 17.46m,0000000009Hz,0000048337c,0000000.105s, 027.3C"
2026-03-03T20:02:44.337799,"r, 17.46m,0000000009Hz,0000048618c,0000000.106s, 027.3C"
2026-03-03T20:02:49.338231,"r, 17.45m,0000000010Hz,0000047748c,0000000.104s, 027.3C"
2026-03-03T20:02:54.338657,"r, 17.44m,0000000009Hz,0000047306c,0000000.103s, 027.3C"
2026-03-03T20:02:59.339142,"r, 17.44m,0000000010Hz,0000047241c,0000000.103s, 027.3C"
2026-03-03T20:03:04.339572,"r, 17.43m,0000000010Hz,0000047042c,0000000.102s, 027.3C"
2026-03-03T20:03:09.339979,"r, 17.42m,0000000010Hz,0000046631c,0000000.101s, 027.3C"
2026-03-03T20:03:14.340409,"r, 17.41m,0000000010Hz,0000046326c,0000000.101s, 027.3C"
2026-03-03T20:03:19.340825,"r, 17.41m,0000000010Hz,0000046111c,0000000.100s, 027.3C"
2026-03-03T20:03:24.341261,"r, 17.41m,0000000010Hz,0000045920c,0000000.100s, 027.3C"
2026-03-03T20:03:29.341689,"r, 17.39m,0000000010Hz,0000045444c,0000000.099s, 027.3C"
2026-03-03T20:03:34.342142,"r, 17.39m,0000000010Hz,0000045126c,0000000.098s, 027.3C"
2026-03-03T20:03:39.342642,"r, 17.37m,0000000011Hz,0000044538c,0000000.097s, 027.3C"
2026-03-03T20:03:44.343044,"r, 17.36m,0000000010Hz,0000044191c,0000000.096s, 027.0C"
2026-03-03T20:03:49.343568,"r, 17.35m,0000000010Hz,0000043661c,0000000.095s, 027.3C"
2026-03-03T20:03:54.344044,"r, 17.34m,0000000010Hz,0000043117c,0000000.094s, 027.0C"
2026-03-03T20:03:59.344534,"r, 17.32m,0000000011Hz,0000042708c,0000000.093s, 027.3C"
2026-03-03T20:04:04.344935,"r, 17.31m,0000000011Hz,0000042346c,0000000.092s, 027.3C"
2026-03-03T20:04:09.345414,"r, 17.30m,0000000011Hz,0000041840c,0000000.091s, 027.3C"
2026-03-03T20:04:14.345853,"r, 17.29m,0000000011Hz,0000041329c,0000000.090s, 027.3C"
2026-03-03T20:04:19.346352,"r, 17.27m,0000000011Hz,0000040760c,0000000.088s, 027.3C"
2026-03-03T20:04:24.346710,"r, 17.25m,0000000012Hz,0000040099c,0000000.087s, 027.0C"
2026-03-03T20:04:29.347150,"r, 17.23m,0000000012Hz,0000039420c,0000000.086s, 027.0C"
2026-03-03T20:04:34.347651,"r, 17.22m,0000000012Hz,0000038730c,0000000.084s, 027.0C"
2026-03-03T20:04:39.348059,"r, 17.20m,0000000012Hz,0000038080c,0000000.083s, 027.0C"
2026-03-03T20:04:44.348483,"r, 17.18m,0000000012Hz,0000037392c,0000000.081s, 027.0C"
2026-03-03T20:04:49.348975,"r, 17.16m,0000000013Hz,0000036738c,0000000.080s, 027.0C"
2026-03-03T20:04:54.349408,"r, 17.20m,0000000013Hz,0000037933c,0000000.082s, 027.0C"
2026-03-03T20:04:59.349833,"r, 17.11m,0000000013Hz,0000035293c,0000000.077s, 027.0C"
2026-03-03T20:05:04.350259,"r, 17.10m,0000000013Hz,0000034680c,0000000.075s, 027.0C"
2026-03-03T20:05:09.350753,"r, 17.07m,0000000013Hz,0000033983c,0000000.074s, 027.0C"
2026-03-03T20:05:14.351230,"r, 17.06m,0000000014Hz,0000033332c,0000000.072s, 027.0C"
2026-03-03T20:05:19.351640,"r, 17.03m,0000000014Hz,0000032508c,0000000.071s, 027.0C"
2026-03-03T20:05:24.352065,"r, 17.01m,0000000014Hz,0000032077c,0000000.070s, 027.0C"
2026-03-03T20:05:29.352561,"r, 16.98m,0000000015Hz,0000031190c,0000000.068s, 027.0C"
2026-03-03T20:05:34.352988,"r, 16.97m,0000000015Hz,0000030896c,0000000.067s, 027.0C"
2026-03-03T20:05:39.353421,"r, 16.95m,0000000015Hz,0000030240c,0000000.066s, 027.0C"
2026-03-03T20:05:44.353815,"r, 16.94m,0000000015Hz,0000029776c,0000000.065s, 027.0C"
2026-03-03T20:05:49.354251,"r, 16.91m,0000000016Hz,0000029265c,0000000.064s, 027.0C"
2026-03-03T20:05:54.354738,"r, 16.90m,0000000016Hz,0000028806c,0000000.063s, 027.0C"
2026-03-03T20:05:59.355180,"r, 16.88m,0000000016Hz,0000028380c,0000000.062s, 027.0C"
2026-03-03T20:06:04.355647,"r, 16.87m,0000000017Hz,0000028042c,0000000.061s, 027.0C"
2026-03-03T20:06:09.356076,"r, 16.86m,0000000017Hz,0000027677c,0000000.060s, 027.0C"
