# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 2
# Data supplier: OAIL
# Location name: ITERA
# Position (lat, lon, elev(m)): -5, 105, 0
# Local timezone: Asia/Jakarta
# Time Synchronization: 0
# Moving / Stationary position: 0
# Moving / Fixed look direction: 0
# Number of channels: 1
# Filters per channel: 1
# Measurement direction per channel: 1
# Field of view (degrees): 10
# Number of fields per line: 6
# SQM serial number: 6881
# SQM hardware identity: B001XNNV
# SQM firmware version: 4-3-80
# SQM cover offset value: 0
# SQM readout test ix (Information): i,00000004,00000003,00000080,00006881
# SQM readout test rx (Reading): r, 15.38m,0000000067Hz,0000006791c,0000000.015s, 026.1C
# SQM readout test cx (Calibration): c,00000019.96m,0000190.216s, 020.3C,00000008.71m, 020.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# Comment: Diambil oleh atikah
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.375
# UDM setting: Logged continuously every 5 seconds,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-03-03T13.16.20.126;2026-03-03T20.16.20.126;25.4;6818;68;15.38
2026-03-03T13.16.25.129;2026-03-03T20.16.25.129;25.4;6462;69;15.32
2026-03-03T13.16.30.104;2026-03-03T20.16.30.104;25.4;6152;74;15.27
2026-03-03T13.16.35.124;2026-03-03T20.16.35.124;25.4;5964;76;15.24
2026-03-03T13.16.40.120;2026-03-03T20.16.40.120;25.4;5864;78;15.22
2026-03-03T13.16.45.109;2026-03-03T20.16.45.109;25.4;5813;79;15.21
2026-03-03T13.16.50.118;2026-03-03T20.16.50.118;25.4;5785;79;15.20
2026-03-03T13.16.55.103;2026-03-03T20.16.55.103;25.4;5773;80;15.20
2026-03-03T13.17.00.124;2026-03-03T20.17.00.124;25.4;5791;80;15.20
2026-03-03T13.17.05.113;2026-03-03T20.17.05.113;25.4;5838;79;15.21
2026-03-03T13.17.10.102;2026-03-03T20.17.10.102;25.4;5843;78;15.21
2026-03-03T13.17.15.092;2026-03-03T20.17.15.092;25.4;5837;78;15.21
2026-03-03T13.17.20.100;2026-03-03T20.17.20.100;25.4;5848;79;15.21
2026-03-03T13.17.25.122;2026-03-03T20.17.25.122;25.4;5847;79;15.21
2026-03-03T13.17.30.132;2026-03-03T20.17.30.132;25.4;5913;78;15.23
2026-03-03T13.17.35.116;2026-03-03T20.17.35.116;25.4;6031;77;15.25
2026-03-03T13.17.40.127;2026-03-03T20.17.40.127;25.4;6220;75;15.28
2026-03-03T13.17.45.103;2026-03-03T20.17.45.103;25.4;6473;72;15.33
2026-03-03T13.17.50.122;2026-03-03T20.17.50.122;25.4;6686;69;15.36
2026-03-03T13.17.55.097;2026-03-03T20.17.55.097;25.4;6722;68;15.37
2026-03-03T13.18.00.102;2026-03-03T20.18.00.102;25.4;6663;69;15.36
2026-03-03T13.18.05.114;2026-03-03T20.18.05.114;25.4;6565;70;15.34
2026-03-03T13.18.10.115;2026-03-03T20.18.10.115;25.4;6486;71;15.33
2026-03-03T13.18.15.121;2026-03-03T20.18.15.121;25.4;6431;71;15.32
2026-03-03T13.18.20.091;2026-03-03T20.18.20.091;25.4;6405;72;15.32
2026-03-03T13.18.25.099;2026-03-03T20.18.25.099;25.4;6419;72;15.32
2026-03-03T13.18.30.121;2026-03-03T20.18.30.121;25.4;6461;72;15.32
2026-03-03T13.18.35.115;2026-03-03T20.18.35.115;25.4;6474;71;15.33
2026-03-03T13.18.40.120;2026-03-03T20.18.40.120;25.4;6565;70;15.34
2026-03-03T13.18.45.103;2026-03-03T20.18.45.103;25.4;6659;69;15.36
2026-03-03T13.18.50.115;2026-03-03T20.18.50.115;25.4;6815;68;15.38
2026-03-03T13.18.55.115;2026-03-03T20.18.55.115;25.4;7021;67;15.41
2026-03-03T13.19.00.107;2026-03-03T20.19.00.107;25.4;7095;65;15.42
2026-03-03T13.19.05.130;2026-03-03T20.19.05.130;25.4;7081;65;15.42
2026-03-03T13.19.10.263;2026-03-03T20.19.10.263;25.4;7090;65;15.42
2026-03-03T13.19.15.128;2026-03-03T20.19.15.128;25.1;7133;65;15.43
2026-03-03T13.19.20.130;2026-03-03T20.19.20.130;25.4;7453;64;15.48
2026-03-03T13.19.25.136;2026-03-03T20.19.25.136;25.1;7284;64;15.45
2026-03-03T13.21.25.101;2026-03-03T20.21.25.101;25.1;5669;81;15.18
2026-03-03T13.21.30.103;2026-03-03T20.21.30.103;25.1;5649;82;15.18
2026-03-03T13.21.35.128;2026-03-03T20.21.35.128;25.1;5559;45;15.16
2026-03-03T13.21.40.120;2026-03-03T20.21.40.120;25.1;5507;83;15.15
2026-03-03T13.21.45.120;2026-03-03T20.21.45.120;25.1;5563;83;15.16
2026-03-03T13.21.50.114;2026-03-03T20.21.50.114;25.1;5876;80;15.22
2026-03-03T13.21.55.138;2026-03-03T20.21.55.138;25.1;6408;75;15.32
2026-03-03T13.22.00.112;2026-03-03T20.22.00.112;25.1;7359;65;15.46
2026-03-03T13.22.05.103;2026-03-03T20.22.05.103;25.1;8122;58;15.57
2026-03-03T13.22.10.110;2026-03-03T20.22.10.110;25.1;8280;56;15.59
2026-03-03T13.22.15.108;2026-03-03T20.22.15.108;25.1;8238;56;15.58
2026-03-03T13.22.20.101;2026-03-03T20.22.20.101;25.1;8235;56;15.58
2026-03-03T13.22.25.125;2026-03-03T20.22.25.125;25.1;8328;55;15.60
2026-03-03T13.22.30.111;2026-03-03T20.22.30.111;25.1;8562;54;15.63
2026-03-03T13.22.35.137;2026-03-03T20.22.35.137;25.1;8903;53;15.68
2026-03-03T13.22.40.106;2026-03-03T20.22.40.106;25.1;8966;51;15.68
2026-03-03T13.22.45.115;2026-03-03T20.22.45.115;25.1;8897;51;15.68
2026-03-03T13.22.50.099;2026-03-03T20.22.50.099;25.1;8896;52;15.68
2026-03-03T13.22.55.113;2026-03-03T20.22.55.113;25.1;9156;51;15.71
2026-03-03T13.23.00.120;2026-03-03T20.23.00.120;25.1;9347;49;15.73
2026-03-03T13.23.05.105;2026-03-03T20.23.05.105;25.1;9577;49;15.75
2026-03-03T13.23.10.123;2026-03-03T20.23.10.123;25.1;9876;47;15.79
2026-03-03T13.23.15.121;2026-03-03T20.23.15.121;25.1;10228;46;15.82
2026-03-03T13.23.20.122;2026-03-03T20.23.20.122;25.1;10620;44;15.86
2026-03-03T13.23.25.114;2026-03-03T20.23.25.114;25.1;10923;43;15.90
2026-03-03T13.23.30.119;2026-03-03T20.23.30.119;25.1;11329;41;15.94
2026-03-03T13.23.35.124;2026-03-03T20.23.35.124;25.1;11596;40;15.97
2026-03-03T13.23.40.119;2026-03-03T20.23.40.119;25.1;11813;39;15.98
2026-03-03T13.23.45.121;2026-03-03T20.23.45.121;25.1;11986;39;16.00
